id	label
2750	0
3340	0
4494	0
5110	0
5165	0
6531	0
8152	1
8633	0
9315	0
10156	1
10809	0
11045	0
11693	0
12323	0
12429	0
13870	1
13872	0
14509	0
14741	0
15278	0
15512	0
15823	0
15977	0
16895	0
19199	0
20741	0
21156	1
21268	1
22140	1
23350	0
23622	1
23767	1
23882	1
23947	1
24036	1
24456	0
24899	1
26042	1
28537	0
28551	1
29578	0
29989	1
30579	0
30598	1
30811	1
30853	1
31143	0
31273	0
32691	0
33019	0
33524	0
33811	1
34532	1
34787	1
35805	1
35869	0
37149	1
37670	1
37707	1
38263	0
38351	1
38472	0
39367	0
40418	1
40812	0
41138	0
41219	0
42025	0
42303	1
42657	0
42702	0
42715	0
43296	1
43557	0
43897	1
44528	0
44743	0
45217	1
45403	1
45564	0
45697	1
46460	1
46469	0
46559	1
46604	1
46960	0
46961	0
47210	1
47866	1
48349	1
49588	1
49667	0
49751	1
50609	1
51236	0
53678	1
53765	1
53770	1
54742	0
54848	0
56476	1
56902	1
59623	1
59658	1
59944	0
60328	0
60571	0
61256	1
61273	0
61657	0
62017	1
62063	0
62088	1
63225	0
63663	1
64117	0
64221	1
64301	0
64726	1
64822	0
65430	0
66471	1
66577	0
67380	0
67547	1
67664	1
69469	1
69583	1
69868	0
69973	1
70386	0
70663	0
70968	1
71873	0
72048	1
72187	1
72522	1
72848	1
73046	0
74081	1
74404	0
74465	0
74846	1
76467	0
76799	1
77395	0
77930	1
78324	1
78758	1
79126	1
79146	0
79377	1
79739	1
80944	1
81612	1
82248	1
82666	0
83726	1
84283	1
84661	1
85359	1
85517	0
86063	1
86734	1
87949	1
88070	0
88904	1
89328	1
89630	0
89666	1
91197	1
91492	1
92212	1
93364	1
93874	1
94113	0
94353	0
94712	0
95149	0
96012	0
96127	1
96854	1
97682	1
97818	0
99682	0
100781	0
100867	1
101052	1
101095	1
102370	1
103409	0
104339	1
104372	0
106039	1
106901	1
109024	1
109054	0
111183	1
112037	1
112737	0
112809	1
113047	0
113101	1
113996	0
114531	1
115852	0
116598	1
119316	0
119517	1
120032	0
120414	0
120974	0
121403	0
122051	1
122308	0
123654	0
123656	1
124059	0
124214	0
124519	1
124703	1
124758	1
125319	1
125419	1
